,gtrend,ILI
2017-01-29,30,7.540139999999999
2017-02-05,38,8.68115
2017-02-12,30,9.81455
2017-02-19,26,8.27769
2017-02-26,20,6.331980000000001
2017-03-05,20,2.9721
2017-03-12,14,3.2050799999999997
2017-03-19,23,3.9121599999999996
2017-03-26,14,3.5754699999999997
2017-04-02,23,4.58545
2017-04-09,23,4.82565
2017-04-16,16,3.25149
2017-04-23,11,1.9606
2017-04-30,12,1.9738
2017-05-07,12,1.96009
2017-05-14,8,1.4525
2017-05-21,7,1.47045
2017-05-28,8,1.64255
2017-06-04,12,1.6699700000000002
2017-06-11,9,1.4343700000000001
2017-06-18,9,1.36968
2017-06-25,6,1.3890799999999999
2017-07-02,10,1.18149
2017-07-09,11,1.1153
2017-07-16,7,0.998308
2017-07-23,6,1.07903
2017-07-30,7,0.9446110000000001
2017-08-06,9,0.961125
2017-08-13,7,0.904343
2017-08-20,8,0.8936120000000001
2017-08-27,9,0.899017
2017-09-03,11,0.795934
2017-09-10,11,0.932594
2017-09-17,11,0.904698
2017-09-24,18,0.938622
2017-10-01,17,1.24783
2017-10-08,15,1.19834
2017-10-15,15,1.0355
2017-10-22,18,1.3730799999999999
2017-10-29,12,1.36996
2017-11-05,18,1.50787
2017-11-12,15,1.6103299999999998
2017-11-19,11,1.6294
2017-11-26,21,1.9000299999999999
2017-12-03,17,2.09801
2017-12-10,19,2.39118
2017-12-17,20,2.6572299999999998
2017-12-24,27,3.81745
2017-12-31,33,3.5840199999999998
2018-01-07,50,4.56376
2018-01-14,75,6.19621
2018-01-21,76,7.4440800000000005
2018-01-28,100,9.175239999999999
2018-02-04,91,10.9383
2018-02-11,92,10.7166
2018-02-18,54,10.3037
2018-02-25,39,6.97767
2018-03-04,29,5.040690000000001
2018-03-11,26,3.71947
2018-03-18,21,3.37375
2018-03-25,27,2.35595
2018-04-01,22,2.59165
2018-04-08,22,2.34435
2018-04-15,18,2.19619
2018-04-22,15,2.22306
2018-04-29,16,1.5924399999999999
2018-05-06,20,2.20051
2018-05-13,13,1.5012299999999998
2018-05-20,17,1.42733
2018-05-27,12,1.24434
2018-06-03,12,1.4018700000000002
2018-06-10,9,0.0269724
2018-06-17,10,0.0407609
2018-06-24,12,0.0
2018-07-01,8,0.015094299999999998
2018-07-08,4,0.176025
2018-07-15,6,0.0
2018-07-22,5,0.0
2018-07-29,10,0.0135135
2018-08-05,8,0.0136836
2018-08-12,8,0.0
2018-08-19,7,0.0
2018-08-26,9,0.0
2018-09-02,14,0.0
2018-09-09,12,0.0857633
2018-09-16,13,0.289645
2018-09-23,15,0.358657
2018-09-30,19,0.22831100000000001
2018-10-07,15,0.964829
2018-10-14,20,0.981513
2018-10-21,20,1.1094
2018-10-28,15,1.13599
2018-11-04,18,1.27149
2018-11-11,19,1.09671
2018-11-18,13,1.13885
2018-11-25,21,1.34073
2018-12-02,22,1.3186799999999999
2018-12-09,21,1.46959
2018-12-16,21,1.95869
2018-12-23,30,2.4195900000000004
2018-12-30,25,3.02337
